step,time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,pos_x,pos_y,pos_z,pitch_rad,roll_rad,action_0,action_1,action_2,action_3,lqr_left,lqr_right,ref_x,ref_y
24,0.9600,0.1464,0.0000,0.4795,0.0779,0.0124,0.0285,-0.0704,0.0340,0.4000,-0.1592,0.2010,0.2242,-0.00901,-0.00406,-0.0205,-0.1444,-0.1124,0.0157,-0.00440,0.00336,0.1438,0.2862
25,1.0000,0.1513,0.0000,0.4820,0.0741,0.0150,0.0411,-0.0712,0.1912,0.3387,-0.1561,0.2007,0.2241,-0.00385,-0.00652,-0.0052,-0.1452,-0.1180,0.0261,-0.00512,0.00331,0.1497,0.2980
26,1.0400,0.1563,0.0000,0.4842,0.0844,-0.0036,0.0358,0.0157,0.0855,0.3709,-0.1529,0.2001,0.2242,0.00172,-0.00742,-0.0232,-0.1326,-0.1197,0.0263,-0.01012,0.00243,0.1557,0.3098
27,1.0800,0.1613,0.0000,0.4861,0.1034,-0.0032,0.0281,0.0280,-0.1943,0.3323,-0.1493,0.1989,0.2239,-0.00242,-0.00684,-0.0086,-0.1339,-0.0935,0.0198,-0.01184,-0.00020,0.1617,0.3215
28,1.1200,0.1664,0.0000,0.4877,0.0940,0.0199,0.0442,-0.1047,0.0791,0.3035,-0.1454,0.1982,0.2239,-0.00381,-0.00837,0.0091,-0.1529,-0.1070,-0.0180,-0.00531,0.00171,0.1676,0.3332
29,1.1600,0.1716,0.0000,0.4892,0.0976,0.0004,0.0392,-0.0108,0.0981,0.3990,-0.1416,0.1979,0.2242,0.00089,-0.01055,-0.0194,-0.1322,-0.1171,0.0618,-0.00660,0.00268,0.1736,0.3449
30,1.2000,0.1768,0.0000,0.4905,0.1062,-0.0107,0.0352,0.0219,0.0519,0.3750,-0.1376,0.1967,0.2241,0.00335,-0.00912,-0.0107,-0.1440,-0.1101,0.0189,-0.00579,0.00175,0.1796,0.3566
31,1.2400,0.1822,0.0000,0.4916,0.1173,-0.0049,0.0414,0.0324,-0.0586,0.3124,-0.1333,0.1955,0.2241,0.00276,-0.00773,-0.0012,-0.1286,-0.1025,0.0398,-0.00653,-0.00058,0.1855,0.3682
32,1.2800,0.1877,0.0000,0.4926,0.1238,0.0042,0.0432,-0.0347,-0.0829,0.3135,-0.1287,0.1946,0.2244,-0.00016,-0.00780,0.0007,-0.1449,-0.1180,0.0041,-0.00362,0.00046,0.1915,0.3798
33,1.3200,0.1931,0.0000,0.4935,0.1173,-0.0036,0.0415,0.0088,0.1503,0.4461,-0.1239,0.1937,0.2247,0.00261,-0.00781,-0.0261,-0.1524,-0.1419,0.0236,-0.00414,0.00424,0.1974,0.3914
