step,time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,pos_x,pos_y,pos_z,pitch_rad,roll_rad,action_0,action_1,action_2,action_3,lqr_left,lqr_right,ref_x,ref_y
24,0.9600,-0.1625,0.0000,-0.4795,0.0082,0.0174,0.0634,-0.0898,0.0066,-0.5467,0.2224,0.3214,0.2256,-0.05416,3.13336,0.0436,-0.0977,-0.1274,0.0381,0.00000,0.00000,0.1438,0.2862
25,1.0000,-0.1652,0.0000,-0.4820,-0.0001,0.0008,0.0101,-0.0043,-0.0251,-0.5224,0.2224,0.3209,0.2255,-0.05364,3.13419,0.0046,-0.0578,-0.1224,0.0444,0.00000,0.00000,0.1497,0.2980
26,1.0400,-0.1675,0.0000,-0.4842,-0.0074,0.0172,0.0282,-0.0891,-0.0522,-0.5341,0.2225,0.3205,0.2246,-0.05603,3.13469,0.0496,-0.0867,-0.1012,0.0516,0.00000,0.00000,0.1557,0.3098
27,1.0800,-0.1693,0.0000,-0.4861,-0.0204,0.0154,0.0459,-0.0791,0.0368,-0.5297,0.2232,0.3199,0.2247,-0.05511,3.13721,0.0191,-0.0933,-0.1327,0.0325,0.00000,0.00000,0.1617,0.3215
28,1.1200,-0.1708,0.0000,-0.4877,-0.0207,0.0014,0.0464,-0.0067,-0.1047,-0.5706,0.2241,0.3196,0.2250,-0.05664,3.13764,0.0427,-0.0793,-0.1234,0.0644,0.00000,0.00000,0.1676,0.3332
29,1.1600,-0.1717,0.0000,-0.4892,-0.0390,0.0105,0.0398,-0.0564,0.0771,-0.5536,0.2252,0.3196,0.2252,-0.05714,3.13709,0.0303,-0.0995,-0.0997,0.0106,0.00000,0.00000,0.1736,0.3449
30,1.2000,-0.1722,0.0000,-0.4905,-0.0603,0.0137,0.0321,-0.0723,0.3044,-0.4550,0.2270,0.3193,0.2250,-0.04811,3.13869,0.0222,-0.0885,-0.1041,0.0549,0.00000,0.00000,0.1796,0.3566
31,1.2400,-0.1723,0.0000,-0.4916,-0.0531,0.0040,0.0243,-0.0236,0.0468,-0.4702,0.2291,0.3191,0.2245,-0.04159,3.13996,0.0363,-0.0640,-0.1014,0.0637,0.00000,0.00000,0.1855,0.3682
32,1.2800,-0.1720,0.0000,-0.4926,-0.0514,-0.0210,0.0458,0.1059,-0.0294,-0.5473,0.2311,0.3198,0.2243,-0.04118,3.13681,0.0142,-0.0677,-0.1371,0.0796,0.00000,0.00000,0.1915,0.3798
33,1.3200,-0.1714,0.0000,-0.4935,-0.0534,-0.0136,0.0584,0.0575,-0.0530,-0.4495,0.2330,0.3208,0.2250,-0.04368,3.13194,0.0093,-0.0983,-0.1142,0.0316,0.00000,0.00000,0.1974,0.3914
34,1.3600,-0.1703,0.0000,-0.4943,-0.0613,0.0002,0.0301,-0.0018,-0.0597,-0.4264,0.2353,0.3213,0.2251,-0.04528,3.12983,0.0117,-0.0681,-0.1277,0.0465,0.00000,0.00000,0.2034,0.4030
35,1.4000,-0.1690,0.0000,-0.4950,-0.0793,0.0150,0.0359,-0.0762,0.1699,-0.4231,0.2380,0.3211,0.2248,-0.04229,3.13058,0.0017,-0.0987,-0.1322,0.0428,0.00000,0.00000,0.2093,0.4145
36,1.4400,-0.1674,0.0000,-0.4956,-0.0686,0.0186,0.0424,-0.0966,-0.1300,-0.5040,0.2409,0.3203,0.2247,-0.04223,3.13387,0.0414,-0.0747,-0.0999,0.0753,0.00000,0.00000,0.2153,0.4261
37,1.4800,-0.1655,0.0000,-0.4961,-0.0827,0.0060,0.0410,-0.0301,0.0609,-0.5209,0.2439,0.3199,0.2248,-0.04257,3.13474,0.0350,-0.0680,-0.1057,0.0360,0.00000,0.00000,0.2212,0.4375
38,1.5200,-0.1631,0.0000,-0.4966,-0.0840,-0.0034,0.0426,0.0131,0.0025,-0.5159,0.2472,0.3198,0.2248,-0.04157,3.13412,0.0029,-0.0893,-0.1123,0.0859,0.00000,0.00000,0.2271,0.4490
39,1.5600,-0.1603,0.0000,-0.4970,-0.1005,0.0102,0.0455,-0.0583,0.2408,-0.5728,0.2506,0.3197,0.2250,-0.03599,3.13340,0.0276,-0.0914,-0.0924,0.0309,0.00000,0.00000,0.2331,0.4604
40,1.6000,-0.1570,0.0000,-0.4974,-0.0889,-0.0111,0.0220,0.0577,-0.0465,-0.4733,0.2542,0.3194,0.2247,-0.03196,3.13304,-0.0186,-0.0621,-0.1266,0.0841,0.00000,0.00000,0.2390,0.4718
41,1.6400,-0.1534,0.0000,-0.4977,-0.0971,-0.0001,0.0467,-0.0184,0.1041,-0.5267,0.2577,0.3196,0.2244,-0.03133,3.13022,0.0269,-0.0897,-0.0971,0.0540,0.00000,0.00000,0.2449,0.4832
42,1.6800,-0.1494,0.0000,-0.4980,-0.0904,0.0240,0.0512,-0.1313,-0.0924,-0.6515,0.2613,0.3186,0.2248,-0.03138,3.13290,0.0434,-0.0788,-0.0877,0.0568,0.00000,0.00000,0.2508,0.4946
43,1.7200,-0.1448,0.0000,-0.4982,-0.0776,-0.0152,0.0282,0.0769,-0.3654,-0.4331,0.2649,0.3180,0.2249,-0.04059,3.13298,-0.0146,-0.0713,-0.1376,0.0782,0.00000,0.00000,0.2567,0.5059
44,1.7600,-0.1399,0.0000,-0.4984,-0.0988,0.0095,0.0633,-0.0624,-0.0322,-0.4602,0.2686,0.3179,0.2249,-0.04836,3.13045,0.0467,-0.1155,-0.1216,0.0379,0.00000,0.00000,0.2626,0.5172
45,1.8000,-0.1348,0.0000,-0.4986,-0.1138,0.0190,0.0442,-0.1015,0.1293,-0.5343,0.2726,0.3165,0.2255,-0.04505,3.13328,-0.0019,-0.0920,-0.0941,0.0666,0.00000,0.00000,0.2685,0.5284
46,1.8400,-0.1293,0.0000,-0.4988,-0.1065,-0.0192,0.0101,0.0784,-0.0928,-0.4375,0.2769,0.3158,0.2248,-0.04407,3.13207,-0.0151,-0.0486,-0.1096,0.0991,0.00000,0.00000,0.2744,0.5396
47,1.8800,-0.1236,0.0000,-0.4989,-0.1295,0.0172,0.0753,-0.0948,0.3006,-0.5145,0.2813,0.3152,0.2248,-0.03939,3.13006,0.0528,-0.1245,-0.1273,0.0321,0.00000,0.00000,0.2803,0.5508
48,1.9200,-0.1176,0.0000,-0.4990,-0.1216,0.0090,0.0370,-0.0492,0.0740,-0.4984,0.2858,0.3134,0.2256,-0.03160,3.13309,-0.0186,-0.0825,-0.1063,0.0552,0.00000,0.00000,0.2862,0.5620
49,1.9600,-0.1111,0.0000,-0.4992,-0.1172,0.0008,0.0302,-0.0106,-0.0466,-0.3951,0.2904,0.3123,0.2251,-0.03191,3.13273,0.0272,-0.0962,-0.1223,0.0581,0.00000,0.00000,0.2921,0.5731
50,2.0000,-0.1046,0.0000,-0.4993,-0.1226,0.0049,0.0479,-0.0263,0.0355,-0.4003,0.2949,0.3111,0.2251,-0.03180,3.13265,-0.0014,-0.1083,-0.1278,0.0525,0.00000,0.00000,0.2980,0.5841
51,2.0400,-0.0979,0.0000,-0.4994,-0.1277,0.0117,0.0530,-0.0600,0.1207,-0.5561,0.2995,0.3095,0.2254,-0.02854,3.13367,0.0175,-0.1088,-0.1011,0.0667,0.00000,0.00000,0.3039,0.5952
52,2.0800,-0.0909,0.0000,-0.4994,-0.1108,-0.0080,0.0247,0.0305,-0.2290,-0.5178,0.3040,0.3081,0.2254,-0.03113,3.13345,0.0071,-0.0622,-0.1072,0.0629,0.00000,0.00000,0.3098,0.6062
53,2.1200,-0.0834,0.0000,-0.4995,-0.1338,-0.0019,0.0558,0.0070,0.2159,-0.3484,0.3088,0.3072,0.2254,-0.03025,3.13038,-0.0062,-0.1398,-0.1571,0.0305,0.00000,0.00000,0.3156,0.6171
54,2.1600,-0.0759,0.0000,-0.4996,-0.1344,0.0209,0.0228,-0.1033,0.1917,-0.4800,0.3134,0.3051,0.2253,-0.02247,3.13252,-0.0100,-0.0949,-0.0652,0.0421,0.00000,0.00000,0.3215,0.6280
55,2.2000,-0.0682,0.0000,-0.4996,-0.1217,-0.0023,0.0177,0.0164,-0.0149,-0.4644,0.3179,0.3030,0.2244,-0.01890,3.13403,-0.0055,-0.0704,-0.0966,0.1128,0.00000,0.00000,0.3273,0.6389
56,2.2400,-0.0602,0.0000,-0.4997,-0.1206,-0.0020,0.0678,0.0093,0.0717,-0.5234,0.3224,0.3017,0.2246,-0.01789,3.13230,0.0232,-0.1108,-0.1117,0.0710,0.00000,0.00000,0.3332,0.6497
57,2.2800,-0.0520,0.0000,-0.4997,-0.1226,0.0010,0.0560,-0.0031,0.1669,-0.5005,0.3267,0.3001,0.2257,-0.01240,3.13164,0.0026,-0.1042,-0.1093,0.0426,0.00000,0.00000,0.3390,0.6605
58,2.3200,-0.0435,0.0000,-0.4997,-0.1156,-0.0100,0.0161,0.0505,0.1010,-0.3839,0.3310,0.2986,0.2255,-0.00742,3.13010,-0.0327,-0.0996,-0.1085,0.0801,0.00000,0.00000,0.3449,0.6713
59,2.3600,-0.0348,0.0000,-0.4998,-0.0990,-0.0020,0.0194,-0.0034,-0.1394,-0.3987,0.3350,0.2972,0.2245,-0.00898,3.12834,0.0049,-0.0735,-0.1094,0.0610,0.00000,0.00000,0.3507,0.6820
60,2.4000,-0.0261,0.0000,-0.4998,-0.1135,0.0084,0.0633,-0.0411,0.2683,-0.4211,0.3387,0.2955,0.2248,-0.00516,3.12822,-0.0168,-0.1316,-0.1364,0.0542,0.00000,0.00000,0.3566,0.6927
61,2.4400,-0.0175,0.0000,-0.4998,-0.0849,-0.0149,0.0114,0.0669,-0.1787,-0.3330,0.3422,0.2939,0.2249,-0.00414,3.12767,-0.0527,-0.0696,-0.1112,0.0510,0.00000,0.00000,0.3624,0.7033
62,2.4800,-0.0088,0.0000,-0.4998,-0.0859,0.0105,0.0519,-0.0548,-0.0564,-0.4071,0.3454,0.2927,0.2244,-0.00963,3.12568,0.0206,-0.1249,-0.1303,0.0518,0.00000,0.00000,0.3682,0.7139
63,2.5200,-0.0003,0.0000,-0.4999,-0.0811,0.0133,0.0598,-0.0715,-0.0558,-0.4561,0.3480,0.2906,0.2254,-0.01097,3.12878,-0.0121,-0.1103,-0.1245,0.0579,0.00000,0.00000,0.3740,0.7244
64,2.5600,0.0084,0.0000,-0.4999,-0.0774,0.0023,0.0323,-0.0306,-0.0507,-0.4459,0.3506,0.2889,0.2256,-0.01321,3.12946,0.0071,-0.0964,-0.1048,0.0525,0.00000,0.00000,0.3798,0.7349
65,2.6000,0.0173,0.0000,-0.4999,-0.0726,-0.0073,0.0275,0.0204,-0.0772,-0.3116,0.3533,0.2876,0.2252,-0.01560,3.12811,-0.0330,-0.1083,-0.1345,0.0624,0.00000,0.00000,0.3856,0.7453
66,2.6400,0.0261,0.0000,-0.4999,-0.0842,0.0195,0.0368,-0.0983,0.2206,-0.4346,0.3558,0.2860,0.2249,-0.01247,3.12866,-0.0073,-0.1221,-0.0921,0.0268,0.00000,0.00000,0.3914,0.7557
67,2.6800,0.0349,0.0000,-0.4999,-0.0810,0.0118,0.0267,-0.0638,0.2443,-0.4307,0.3579,0.2837,0.2247,-0.00204,3.13246,-0.0184,-0.0910,-0.0994,0.0669,0.00000,0.00000,0.3972,0.7661
68,2.7200,0.0438,0.0000,-0.4999,-0.0475,-0.0170,0.0076,0.0893,-0.2515,-0.3661,0.3601,0.2826,0.2237,-0.00411,3.13129,-0.0279,-0.0655,-0.1013,0.0612,0.00000,0.00000,0.4030,0.7763
69,2.7600,0.0528,0.0000,-0.4999,-0.0510,0.0144,0.0780,-0.0698,-0.0524,-0.6302,0.3619,0.2817,0.2239,-0.01053,3.12954,0.0444,-0.1204,-0.1143,0.0505,0.00000,0.00000,0.4088,0.7866
70,2.8000,0.0619,0.0000,-0.4999,-0.0486,0.0107,0.0524,-0.0604,-0.0154,-0.4591,0.3631,0.2800,0.2254,-0.01078,3.13261,-0.0213,-0.1118,-0.1083,0.0105,0.00000,0.00000,0.4145,0.7968
