step,time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,pos_x,pos_y,pos_z,pitch_rad,roll_rad,action_0,action_1,action_2,action_3,lqr_left,lqr_right,ref_x,ref_y
24,0.9600,0.4316,0.0000,-0.0133,0.4496,0.0005,0.0402,-0.0042,-0.0515,-0.0103,-0.3651,-0.1932,0.2230,0.00107,-0.02798,0.0147,-0.1140,-0.0895,0.0176,0.00000,0.00000,0.1438,0.2862
25,1.0000,0.4338,0.0000,-0.0154,0.4604,-0.0047,0.0424,0.0235,-0.0535,-0.0267,-0.3565,-0.1772,0.2232,-0.00107,-0.02686,0.0117,-0.1144,-0.0975,0.0262,0.00000,0.00000,0.1497,0.2980
26,1.0400,0.4357,0.0000,-0.0174,0.4710,-0.0032,0.0412,0.0151,-0.0692,-0.0131,-0.3476,-0.1609,0.2234,-0.00380,-0.02485,0.0148,-0.1184,-0.0962,0.0099,0.00000,0.00000,0.1557,0.3098
27,1.0800,0.4374,0.0000,-0.0192,0.4799,-0.0012,0.0381,0.0052,-0.0762,-0.0248,-0.3386,-0.1443,0.2236,-0.00681,-0.02388,0.0195,-0.1133,-0.0979,0.0277,0.00000,0.00000,0.1617,0.3215
28,1.1200,0.4390,0.0000,-0.0209,0.4871,-0.0006,0.0326,0.0016,-0.0641,-0.0203,-0.3295,-0.1273,0.2237,-0.00963,-0.02331,0.0162,-0.1125,-0.0995,0.0140,0.00000,0.00000,0.1676,0.3332
29,1.1600,0.4403,0.0000,-0.0224,0.4935,0.0008,0.0314,-0.0052,-0.0514,-0.0150,-0.3202,-0.1101,0.2237,-0.01199,-0.02325,0.0183,-0.1137,-0.1014,0.0195,0.00000,0.00000,0.1736,0.3449
30,1.2000,0.4414,0.0000,-0.0238,0.5002,0.0002,0.0314,-0.0026,-0.0512,-0.0152,-0.3109,-0.0926,0.2237,-0.01406,-0.02341,0.0189,-0.1126,-0.1024,0.0197,0.00000,0.00000,0.1796,0.3566
31,1.2400,0.4425,0.0000,-0.0252,0.5065,-0.0016,0.0315,0.0073,-0.0528,-0.0256,-0.3014,-0.0750,0.2237,-0.01617,-0.02290,0.0217,-0.1100,-0.1030,0.0227,0.00000,0.00000,0.1855,0.3682
32,1.2800,0.4434,0.0000,-0.0265,0.5116,-0.0008,0.0291,0.0028,-0.0471,-0.0248,-0.2917,-0.0571,0.2238,-0.01829,-0.02214,0.0200,-0.1123,-0.1010,0.0163,0.00000,0.00000,0.1915,0.3798
33,1.3200,0.4442,0.0000,-0.0277,0.5157,0.0016,0.0296,-0.0097,-0.0379,-0.0217,-0.2821,-0.0391,0.2239,-0.01996,-0.02223,0.0244,-0.1141,-0.1075,0.0185,0.00000,0.00000,0.1974,0.3914
34,1.3600,0.4449,0.0000,-0.0289,0.5198,0.0015,0.0253,-0.0090,-0.0331,-0.0268,-0.2723,-0.0209,0.2239,-0.02139,-0.02278,0.0224,-0.1104,-0.1041,0.0142,0.00000,0.00000,0.2034,0.4030
35,1.4000,0.4455,0.0000,-0.0299,0.5249,0.0004,0.0257,-0.0031,-0.0576,-0.0245,-0.2625,-0.0025,0.2239,-0.02334,-0.02304,0.0253,-0.1116,-0.1072,0.0220,0.00000,0.00000,0.2093,0.4145
36,1.4400,0.4460,0.0000,-0.0309,0.5276,-0.0000,0.0278,-0.0011,-0.0411,-0.0316,-0.2525,0.0159,0.2240,-0.02529,-0.02281,0.0279,-0.1115,-0.1080,0.0178,0.00000,0.00000,0.2153,0.4261
37,1.4800,0.4465,0.0000,-0.0319,0.5295,-0.0004,0.0257,0.0009,-0.0237,-0.0125,-0.2425,0.0344,0.2242,-0.02655,-0.02254,0.0237,-0.1144,-0.1100,0.0157,0.00000,0.00000,0.2212,0.4375
38,1.5200,0.4469,0.0000,-0.0328,0.5314,0.0009,0.0229,-0.0062,-0.0162,-0.0311,-0.2324,0.0531,0.2242,-0.02741,-0.02244,0.0285,-0.1111,-0.1054,0.0227,0.00000,0.00000,0.2271,0.4490
39,1.5600,0.4473,0.0000,-0.0337,0.5344,0.0019,0.0211,-0.0111,-0.0313,-0.0296,-0.2223,0.0718,0.2242,-0.02840,-0.02298,0.0277,-0.1105,-0.1069,0.0155,0.00000,0.00000,0.2331,0.4604
40,1.6000,0.4476,0.0000,-0.0345,0.5362,0.0015,0.0214,-0.0089,-0.0255,-0.0357,-0.2121,0.0906,0.2241,-0.02959,-0.02347,0.0299,-0.1104,-0.1057,0.0210,0.00000,0.00000,0.2390,0.4718
41,1.6400,0.4479,0.0000,-0.0353,0.5370,0.0011,0.0207,-0.0074,-0.0102,-0.0185,-0.2019,0.1094,0.2242,-0.03023,-0.02383,0.0260,-0.1129,-0.1095,0.0104,0.00000,0.00000,0.2449,0.4832
42,1.6800,0.4482,0.0000,-0.0361,0.5384,-0.0009,0.0187,0.0031,-0.0073,-0.0147,-0.1917,0.1282,0.2241,-0.03060,-0.02374,0.0251,-0.1085,-0.1051,0.0224,0.00000,0.00000,0.2508,0.4946
43,1.7200,0.4484,0.0000,-0.0369,0.5404,-0.0006,0.0207,0.0019,-0.0143,-0.0178,-0.1813,0.1471,0.2241,-0.03110,-0.02325,0.0283,-0.1093,-0.1052,0.0215,0.00000,0.00000,0.2567,0.5059
