step,time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,pos_x,pos_y,pos_z,pitch_rad,roll_rad,action_0,action_1,action_2,action_3,lqr_left,lqr_right
26,1.0400,0.5370,0.0000,0.0102,0.3791,-0.0008,0.0433,0.0038,-0.0422,-0.0271,-27.9910,-75.6781,0.6866,0.02109,-3.11905,-0.0147,-0.1143,-0.0699,0.0160,-0.00357,0.00602
27,1.0800,0.5370,0.0000,0.0102,0.3702,-0.0072,0.0484,0.0316,0.1727,0.0478,-27.9997,-75.6658,0.6866,0.02470,-3.12120,-0.0337,-0.1389,-0.1022,-0.0085,-0.00333,0.00763
28,1.1200,0.5370,0.0000,0.0102,0.3915,-0.0099,0.0497,0.0452,-0.2340,0.0315,-28.0085,-75.6533,0.6867,0.02185,-3.12326,-0.0158,-0.1223,-0.0817,0.0487,-0.00809,0.00342
29,1.1600,0.5370,0.0000,0.0102,0.3916,-0.0011,0.0502,0.0058,-0.2114,-0.0319,-28.0174,-75.6405,0.6870,0.01243,-3.12584,-0.0108,-0.1348,-0.0763,-0.0044,-0.00216,0.00445
30,1.2000,0.5370,0.0000,0.0102,0.3708,0.0179,0.0519,-0.0872,0.1863,-0.0486,-28.0267,-75.6284,0.6874,0.01368,-3.12326,0.0015,-0.1348,-0.0767,-0.0015,0.00023,0.00742
31,1.2400,0.5370,0.0000,0.0102,0.3713,0.0145,0.0258,-0.0734,0.1734,0.0035,-28.0362,-75.6168,0.6871,0.02115,-3.11710,-0.0242,-0.1280,-0.0651,0.0028,-0.00444,0.00486
32,1.2800,0.5370,0.0000,0.0102,0.3842,-0.0009,0.0241,-0.0003,-0.0605,0.0470,-28.0454,-75.6048,0.6862,0.02226,-3.11492,-0.0271,-0.1309,-0.0629,0.0112,-0.00884,0.00197
33,1.3200,0.5370,0.0000,0.0102,0.3898,-0.0032,0.0628,0.0107,-0.1518,0.0636,-28.0544,-75.5923,0.6862,0.01754,-3.11596,-0.0061,-0.1489,-0.0829,0.0127,-0.00674,0.00080
34,1.3600,0.5370,0.0000,0.0102,0.3883,0.0007,0.0507,-0.0030,-0.1075,-0.0357,-28.0636,-75.5798,0.6869,0.01261,-3.11653,-0.0085,-0.1277,-0.0653,-0.0155,-0.00380,0.00186
35,1.4000,0.5370,0.0000,0.0102,0.3785,0.0032,0.0456,-0.0184,0.0685,0.0180,-28.0728,-75.5675,0.6871,0.01258,-3.11613,-0.0123,-0.1456,-0.0857,0.0043,-0.00030,0.00295
36,1.4400,0.5370,0.0000,0.0102,0.3925,-0.0123,0.0262,0.0582,-0.2455,0.0122,-28.0818,-75.5551,0.6869,0.00847,-3.11706,-0.0174,-0.1033,-0.0758,0.0362,-0.00403,0.00314
37,1.4800,0.5370,0.0000,0.0102,0.3772,-0.0039,0.0399,0.0150,0.0255,0.0606,-28.0905,-75.5424,0.6867,0.00463,-3.12117,-0.0228,-0.1479,-0.0999,-0.0482,-0.00059,0.00564
38,1.5200,0.5370,0.0000,0.0102,0.3738,0.0134,0.0432,-0.0675,0.0230,0.0006,-28.0998,-75.5306,0.6868,0.00553,-3.11853,-0.0212,-0.1436,-0.0704,0.0110,-0.00058,0.00391
39,1.5600,0.5370,0.0000,0.0102,0.3760,-0.0007,0.0336,0.0012,-0.0724,0.0082,-28.1089,-75.5187,0.6867,0.00478,-3.11624,-0.0202,-0.1248,-0.0795,0.0117,-0.00125,0.00436
40,1.6000,0.5370,0.0000,0.0102,0.3587,-0.0080,0.0558,0.0371,0.2471,0.0381,-28.1175,-75.5067,0.6869,0.00941,-3.11880,-0.0201,-0.1512,-0.0990,0.0102,0.00027,0.00661
41,1.6400,0.5370,0.0000,0.0102,0.3752,-0.0001,0.0329,-0.0027,-0.1323,0.0293,-28.1263,-75.4949,0.6871,0.01011,-3.11915,-0.0190,-0.1274,-0.0601,-0.0049,-0.00292,0.00056
42,1.6800,0.5370,0.0000,0.0102,0.3617,-0.0019,0.0497,0.0067,0.1020,0.0325,-28.1351,-75.4831,0.6870,0.01072,-3.12033,-0.0145,-0.1492,-0.1184,0.0046,-0.00031,0.00412
43,1.7200,0.5370,0.0000,0.0102,0.3690,0.0160,0.0426,-0.0796,-0.0724,-0.0163,-28.1442,-75.4716,0.6873,0.00997,-3.11723,-0.0053,-0.1467,-0.0544,-0.0208,-0.00209,0.00046
44,1.7600,0.5370,0.0000,0.0102,0.3574,-0.0010,0.0322,0.0009,0.1212,0.0448,-28.1532,-75.4602,0.6871,0.01274,-3.11517,-0.0132,-0.1181,-0.0917,0.0077,-0.00284,0.00476
45,1.8000,0.5370,0.0000,0.0102,0.3616,0.0155,0.0372,-0.0749,0.0241,-0.0584,-28.1622,-75.4488,0.6867,0.01404,-3.11281,0.0057,-0.1465,-0.0399,-0.0131,-0.00428,0.00022
46,1.8400,0.5370,0.0000,0.0102,0.3695,-0.0229,0.0368,0.1081,-0.1587,0.0530,-28.1709,-75.4372,0.6866,0.01217,-3.11355,-0.0594,-0.1272,-0.1156,0.0305,-0.00784,0.00081
47,1.8800,0.5370,0.0000,0.0102,0.3636,-0.0126,0.0569,0.0585,-0.0461,0.0435,-28.1790,-75.4249,0.6869,0.00732,-3.12100,-0.0152,-0.1672,-0.0974,-0.0322,-0.00542,0.00083
48,1.9200,0.5370,0.0000,0.0102,0.3550,0.0130,0.0384,-0.0650,0.0680,-0.0044,-28.1878,-75.4135,0.6873,0.00842,-3.12010,-0.0248,-0.1379,-0.0702,-0.0246,-0.00382,0.00008
49,1.9600,0.5370,0.0000,0.0102,0.3445,0.0128,0.0394,-0.0649,0.2481,0.0019,-28.1968,-75.4027,0.6870,0.01590,-3.11574,-0.0025,-0.1331,-0.0800,0.0212,-0.00532,0.00219
50,2.0000,0.5370,0.0000,0.0102,0.3676,-0.0156,0.0239,0.0659,-0.2238,0.1535,-28.2055,-75.3914,0.6866,0.01496,-3.11542,-0.0449,-0.1242,-0.0831,0.0067,-0.01087,-0.00266
51,2.0400,0.5370,0.0000,0.0102,0.3507,0.0093,0.0521,-0.0442,0.1146,-0.0451,-28.2140,-75.3798,0.6863,0.01285,-3.11817,0.0140,-0.1487,-0.0597,-0.0294,-0.00592,-0.00119
52,2.0800,0.5370,0.0000,0.0102,0.3495,0.0021,0.0662,-0.0097,0.1143,-0.0350,-28.2229,-75.3689,0.6872,0.01879,-3.11487,-0.0290,-0.1413,-0.1033,0.0341,-0.01010,-0.00194
53,2.1200,0.5370,0.0000,0.0102,0.3585,-0.0115,0.0426,0.0537,-0.0334,0.0122,-28.2314,-75.3574,0.6875,0.01926,-3.11713,-0.0110,-0.1406,-0.0757,-0.0012,-0.01427,-0.00315
54,2.1600,0.5370,0.0000,0.0102,0.3581,-0.0013,0.0394,0.0024,-0.0326,0.0482,-28.2399,-75.3459,0.6874,0.01762,-3.11945,-0.0140,-0.1465,-0.0814,-0.0015,-0.01422,-0.00380
55,2.2000,0.5370,0.0000,0.0102,0.3620,-0.0029,0.0429,0.0108,-0.1186,0.0344,-28.2487,-75.3345,0.6873,0.01478,-3.11964,-0.0123,-0.1263,-0.0878,0.0315,-0.01555,-0.00277
