step,time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,pos_x,pos_y,pos_z,pitch_rad,roll_rad,action_0,action_1,action_2,action_3,lqr_left,lqr_right
0,0.0000,0.7467,0.0000,0.1528,-0.0622,-0.0802,-0.2786,0.3744,2.7748,-0.0504,-28.1770,-76.2729,0.9097,0.11190,3.12828,1.4486,0.9002,-1.5000,-0.4600,0.00000,0.00000
1,0.0400,0.7467,0.0000,0.1528,0.2094,-0.0934,-0.7880,0.9339,1.3480,-2.5311,-28.1819,-76.2713,0.8845,0.15997,3.11214,1.9815,3.6998,0.8340,1.6259,0.00000,0.00000
2,0.0800,0.7467,0.0000,0.1528,0.3980,-0.1042,-1.2684,0.9636,2.0373,-3.0272,-28.1874,-76.2697,0.8403,0.23260,3.10712,4.0849,3.6992,0.9892,3.2634,0.00000,0.00000
3,0.1200,0.7467,0.0000,0.1528,0.5428,-0.0678,-1.5415,-0.7234,0.6266,0.1335,-28.1938,-76.2692,0.7802,0.26242,3.12795,1.5499,2.0879,0.8711,1.7609,0.00000,0.00000
4,0.1600,0.7467,0.0000,0.1528,0.6419,-0.0227,-1.8563,-1.1296,0.7428,2.6791,-28.1974,-76.2693,0.7106,0.29307,-3.13178,-0.1550,-0.1740,-0.1479,0.0348,0.00000,0.00000
5,0.2000,0.7467,0.0000,0.1528,0.2788,0.0330,0.2291,-0.1764,0.7184,0.0311,-28.2063,-76.2742,0.6848,0.32443,-3.13394,-0.1627,-0.8238,-0.4090,0.2728,0.00000,0.00000
6,0.2400,0.7467,0.0000,0.1528,0.3931,0.0319,0.3371,-0.1493,-0.5740,0.3129,-28.2220,-76.2806,0.6922,0.32358,-3.13086,0.3432,-0.4343,-0.4346,-0.4882,0.00000,0.00000
7,0.2800,0.7467,0.0000,0.1528,0.5512,-0.0200,0.0480,0.0366,-1.1154,0.5521,-28.2407,-76.2872,0.6918,0.27915,-3.13534,-0.3088,-0.6928,-0.3503,-0.3606,0.00000,0.00000
8,0.3200,0.7467,0.0000,0.1528,0.6043,-0.0430,0.0631,0.1962,-1.0967,0.2103,-28.2618,-76.2929,0.6861,0.22803,3.13758,-0.3531,-0.5590,-0.1833,-0.0367,0.00000,0.00000
9,0.3600,0.7467,0.0000,0.1528,0.6280,0.0118,0.1849,-0.0698,-0.6604,0.0896,-28.2847,-76.3005,0.6848,0.19586,3.13471,-0.0822,-0.1871,-0.0196,0.0616,0.00000,0.00000
10,0.4000,0.7467,0.0000,0.1528,0.6860,0.0327,0.1789,-0.1755,-0.7590,0.1213,-28.3090,-76.3107,0.6859,0.16843,3.13996,0.0350,-0.0843,-0.0492,0.0494,0.00000,0.00000
11,0.4400,0.7467,0.0000,0.1528,0.7349,0.0219,0.1402,-0.1223,-0.7151,0.1747,-28.3352,-76.3216,0.6863,0.13896,-3.13848,0.0376,-0.0785,-0.0780,-0.0060,0.00000,0.00000
12,0.4800,0.7467,0.0000,0.1528,0.7920,0.0183,0.1312,-0.0997,-0.9880,0.1176,-28.3630,-76.3332,0.6864,0.10320,-3.13448,0.0573,-0.0783,-0.0687,0.0339,0.00000,0.00000
13,0.5200,0.7467,0.0000,0.1528,0.8024,-0.0014,0.1197,0.0016,-0.5113,0.1167,-28.3922,-76.3447,0.6872,0.07617,-3.13408,0.0340,-0.0751,-0.1353,-0.0440,0.00000,0.00000
14,0.5600,0.7467,0.0000,0.1528,0.8292,0.0211,0.0808,-0.1130,-0.5156,0.1657,-28.4222,-76.3569,0.6875,0.05380,-3.13198,0.0361,-0.1124,-0.0554,-0.0261,0.00000,0.00000
15,0.6000,0.7467,0.0000,0.1528,0.8536,0.0027,0.0717,-0.0192,-0.6104,0.2307,-28.4526,-76.3698,0.6875,0.03251,-3.12930,0.0675,-0.0627,-0.1132,0.0589,0.00000,0.00000
16,0.6400,0.7467,0.0000,0.1528,0.8491,-0.0001,0.0580,-0.0025,-0.1840,0.1984,-28.4839,-76.3824,0.6877,0.01803,-3.13047,0.0545,-0.0797,-0.1045,-0.0641,0.00000,0.00000
17,0.6800,0.7467,0.0000,0.1528,0.8656,-0.0098,0.0562,0.0467,-0.2843,0.2315,-28.5153,-76.3955,0.6880,0.00879,-3.13114,0.0463,-0.0776,-0.1182,0.0653,0.00000,0.00000
18,0.7200,0.7467,0.0000,0.1528,0.8618,0.0099,0.0426,-0.0518,-0.0096,0.1907,-28.5470,-76.4091,0.6883,0.00297,-3.13201,0.0689,-0.0910,-0.0708,-0.0431,0.00000,0.00000
19,0.7600,0.7467,0.0000,0.1528,0.8793,0.0207,0.0302,-0.1068,-0.2216,0.1506,-28.5783,-76.4239,0.6881,-0.00239,-3.12756,0.0693,-0.0856,-0.0669,0.0459,0.00000,0.00000
20,0.8000,0.7467,0.0000,0.1528,0.8835,-0.0061,0.0452,0.0294,-0.1288,0.1894,-28.6101,-76.4385,0.6884,-0.00793,-3.12644,0.0737,-0.0855,-0.1302,0.0185,0.00000,0.00000
21,0.8400,0.7467,0.0000,0.1528,0.8824,0.0082,0.0197,-0.0431,0.0102,0.2429,-28.6423,-76.4532,0.6886,-0.01105,-3.12673,0.0551,-0.1061,-0.0624,-0.0698,0.00000,0.00000
22,0.8800,0.7467,0.0000,0.1528,0.9022,-0.0062,0.0229,0.0303,-0.3237,0.2826,-28.6741,-76.4684,0.6883,-0.01730,-3.12559,0.0823,-0.0689,-0.1124,0.0913,0.00000,0.00000
